"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_16",80.2,11.4,21.1,8114.2,1.1,428,173.4,7.4,513.1,1164.4,67969.5,4634,58.4,1282.8,38.9,986.8,4308.2,476,947.5,5316.7,795.7,1501.8,5089.9,678.9,132,187,38329.5,17.1,288.1,66140.9,222.6,124.6,17.9,1.9,21.2,82.2,89.4,8.4,0.3,0.3,28.4,392.9,148.3,45.6,36.1,0.6,3.1,99.8,196.9,0,3182.9,0,0,0.1,59.6,0,82.9,13537.9,0,228078.2
"DOM_17T18",118.7,25.9,35.4,159,30.1,358.7,178.7,16.1,14343.1,4727.5,1289.2,102987.7,88.8,5654.4,2729.8,2464.9,12590,265.7,557.8,2476.3,8054.4,8219.1,5728.8,1245.7,54,205.4,7659.5,891.5,548.2,2801.7,26207.9,978.6,32.8,130.5,387.5,1767.3,940.2,7165.1,1185.3,16069.2,24105,4460.2,50824.1,10139.3,9829.5,5184.3,569.3,273.8,1927.9,0,8278.2,0,0.1,1045.8,226.8,0,243.3,17033,0,375510.9
"DOM_19",11449.7,1037.3,2832.9,1461.3,9371.5,6182.4,3971.3,983.6,1045.4,722,519.1,549.4,24973.1,116026.9,285.8,2357.6,20355.8,45721.3,9103.3,2520.3,1468.9,1572.8,3696.3,1627.7,380.6,307.4,810.8,28814.6,1396.7,23541.5,4585.5,68265.4,26970.8,19294.3,17131.5,1067.5,684.9,192.2,348.7,139.4,2853.2,1006.5,20121.7,12231.3,5940.4,1521.8,420.9,356.2,700.4,0,15698.6,2.6,0.6,0.1,64.4,0,407.6,22746.9,0,547840.8
"DOM_20",110273,6219.4,562.5,6442.2,3165.4,9120.9,6596.6,1772,8498.4,59502.8,11712.3,31321.4,7868.3,431252.2,9673.1,131328.4,56779.9,5925.9,16583.8,23947.5,31023.3,39759.8,17079.5,8634.6,1180.6,1303.8,13823.2,903.8,6321.2,79063.2,771.9,1478.4,162.7,478.2,2807.9,215.2,1890.1,1991.8,23.5,2350.8,667.1,788.6,28586.8,3214.8,3989.3,5987.9,26305,1822,9172,0,21229.3,10.8,1.4,0.2,235.3,0,325.7,99290.9,0,1351436.7
"DOM_21",16478.5,288.3,941.1,63.8,8.2,45.3,1.4,10.4,642.1,109,0.3,269.3,4.7,4585,97729.8,278,434,141.7,35.9,158.7,416.6,44.2,344,6.3,0.1,6.2,74,49.3,100.9,1518.8,84.3,186.2,25.9,38,57.8,73.4,40.9,9.8,341.1,60,119,63.2,2374.2,327.1,89.7,120.8,129731.6,9.8,510,0,63517.6,24.6,1.5,0.1,139.4,0,273.1,10827.8,0,333833
"DOM_22",8711.1,292.5,116.4,1463,99.8,2175.4,852.8,893,14110,13044.6,2009.5,9547.3,578.6,34976.7,1202.2,94618,13711.5,1076,1193.3,9210.6,35792.7,38214.2,30339.6,29468.3,538.4,4333.1,12527.5,280.9,5700.9,35978.9,3807.7,8710.5,36.6,47.5,880.1,412.8,1113,115.3,694.2,226.1,109,397,3468.8,1335.2,295.9,20.6,1329,552.3,1812.4,0,5566.1,0,0,0.3,174.8,0,0,64065.4,0,498226.8
"DOM_23",287.5,69.3,114.2,1530.7,112.6,1158.2,2403.8,1032.8,6234.2,690.1,464.7,535.6,1888.7,7058.5,2534.4,2684,178606.4,19295.1,10422.6,7223.6,17575.4,26366.8,8113.8,15503.4,297.3,617.1,2631.5,566.8,1194.3,523278.6,149.7,662.5,44.1,183.3,499.5,415.6,148.6,482.6,156.9,100.7,106.2,110.9,1764.4,249.9,1805.7,825.2,275.5,522.5,20.5,0,8079.3,0,0,0.1,90.9,0,0,41885,0,899071.5
"DOM_24A",15,6.7,4.9,11774.5,4025.8,2068.2,979.7,1432.6,125.7,209.8,98.2,787.8,39.4,1504.8,40.2,2178.5,12409,247803.6,5347.9,126389.4,6036.7,29911.3,122369.3,40486,6509.2,5417.5,5414.5,316.5,1321.3,306150.5,54.5,1611.1,245.2,32.2,502.3,46.8,0.7,11.6,0.1,0.1,0,2.1,697.3,59.1,0,16,0,24.6,44.7,0,0,0,0,0.2,-21.8,0,0,62366.7,0,1006868
"DOM_24B",0.5,0.4,0,67.5,1.1,717.8,31.7,155.2,55,119.1,141.9,5455.7,4.5,6732.5,36.5,784.9,5545.3,16110,214708.1,44505.9,27911.3,155958.5,54732.8,31396.3,569,4350.4,15760.8,91.6,3251,21390.1,63.6,45.5,0.2,88,4.3,30.4,1,3.1,0,0,0,0.6,78.5,0.2,0,25.6,0,6.8,211.7,0,0,0,0.1,0.1,-16.3,0,0,22932.6,0,634061.4
"DOM_25",508.9,145.5,41.5,7648.6,713.6,5339.8,3340,779.3,3446.3,1129.3,3900,1497.7,183.5,5164,626.2,6312.9,24533.1,7575.6,2068.8,79466.9,19345.9,33666.6,53068.4,19754.8,3623,3563.4,8838,294.1,1653.4,116662.7,511,462.6,320.4,52.4,3248.5,115.2,246.8,43.2,39.8,38.6,119.3,1438,32360.2,4868.7,1031.2,653,83.1,114.4,1341.2,0,5485.8,0,0.1,46323.1,6512.8,0,0,78532.1,0,598833.2
