"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_17T18",502.5,5.1,0.9,70.8,110.1,74.5,41.1,91.4,25717.3,782.6,621.5,48006.3,168.6,5546.4,1439.3,3900.8,1308.8,1107.1,952.6,2246.7,691.6,1027.2,2565.9,3203.7,49.5,761.7,3038.1,93.5,287.2,2894.5,20939.1,878.6,55.8,58.1,2177.9,1127.7,5835.6,7937.3,904.2,4051.8,5349.6,1058.1,9652.9,5991.6,12098.3,9288.5,9787.9,1123.7,2501.1,0,53873.8,7.5,14.4,1715.7,197.9,505.9,697.4,23014.9,-21293
"TTL_19",17867.5,929.7,291.2,2952.2,7484.2,2216.5,1878.4,4618.2,6171.4,845.3,1524.4,5085.2,34648.3,26524.4,896.2,3827.4,8848.9,3380.4,819,2263.1,497,1932.5,2628.6,1174.4,57.8,546.5,1808.1,33249.3,2224.1,41739.5,13296.4,62622.6,7123.4,41090.2,6097.5,10642.6,5706,600.5,591.2,1568.9,12293.5,6002.9,4290.1,7518.9,102763.2,36462.6,7714.4,1375.6,3500.5,0,253819.9,28.1,1.8,813.8,474.5,889.8,2206,97017.5,-95725.2
"TTL_20",38568.6,16.8,2.8,1102.5,5412.5,818.2,591.5,1459.8,8187.4,11173.5,2532.5,17412.3,12164.5,163580.3,9703.4,51808.4,3846.5,1537,744.3,7596.5,2603.5,2733.1,4902.6,8510.8,249.2,1387.6,7959.4,1611.9,946.4,11883.8,3652.1,617.7,48,215.6,1262.1,245.2,1385,832.6,523.4,723.1,332.9,7526.4,8704.7,5760.2,21446.5,4427.7,8647.5,509.1,3080.8,0,119410.7,78.3,3.6,5825.5,662.3,397.1,838.5,99901.1,-84899.8
"TTL_21",1485.3,5.9,1,27.7,125.8,20.2,15.7,50.3,1582.1,185.5,120.9,390.1,286.7,3843.1,32488.2,817.8,120.5,114.6,64.6,284.8,112.3,105.8,288.2,380.5,16.2,185.4,261,144.2,34.8,862.3,1118.3,139.1,16.1,75.8,44.1,33.4,154.8,92.2,88.3,87.2,107.2,168.2,3213.8,228.3,2795.5,209.6,31105.6,262.4,113.1,0,174131.6,138.6,9.3,16704.8,324,312.5,472.3,34634.4,-77850.1
"TTL_22",1475.8,33.4,0.5,447.4,113.7,461.9,150.4,731.8,18161.6,653,719.6,3475.4,337.2,8947.7,1786.8,15121.5,1046.9,1222,506,3166.3,1618.5,1588.3,8331.6,23086.5,171.5,2838.4,10099.9,49.2,316.4,24333.5,16356.1,540.2,7.7,27.2,607,2631.8,5012,1330.7,2132.1,886.7,472.3,467.7,3901.5,2734.2,7871.8,1410.9,8011.7,168.7,1166.4,0,51336.3,2.5,4.9,2919.5,273.2,43.2,20,24599.6,-42021.6
"TTL_23",118.6,85.9,0.7,141.4,785.9,208.4,160.6,563.2,5380.8,161.6,741.7,511.6,50.7,1616,389,1364.2,10713.3,2423.6,235.3,1187.9,446.7,1637.6,2568.4,7001,51.9,292.9,1137.1,75.2,194.1,62209.6,1399.2,53.4,3.1,11.8,137.2,37.3,1691.8,230,1522.3,673.5,81.1,163.8,2436.4,1184.9,4570.8,386.9,3160.7,116.8,662.3,0,16551,0.9,1.7,936.8,50.2,33.9,5.1,8907,-18223.8
"TTL_24A",156.5,3.4,1,41.7,6437.3,223.3,206.9,429.5,123.2,254.9,253.7,115.8,114.6,995.2,6.8,1068.7,519.6,26944.9,714.5,48563,720.2,4209.8,32056.5,21182.3,577.4,4213.5,5092.7,112.2,558.8,5582,568.8,846.5,25.7,132,313.5,41.3,68.1,1298.1,225.1,96,45,1119.5,734.6,476.4,734.9,253,333.4,201.4,183.9,0,1083.1,0.4,0.3,875.1,18,2.8,8.9,13792.3,-37217.1
"TTL_24B",95.4,0.7,0.1,4.6,67.9,5.3,3.8,11.7,5904.6,27.8,194.6,836.5,33.2,536.5,23.9,451.9,60.7,10183.5,55830.7,18556.6,4227.2,11305.2,8385.4,13490.7,396.9,5721.4,4158.4,233.8,58.1,1795,1380.1,17.9,3.3,4.8,11.5,7.8,94.4,1083.3,503.9,317.8,7.1,70,564.7,68.1,919.3,32.1,119,25.4,163.9,0,1259.7,0.6,3.1,997.7,-5.3,11.1,2.9,41631.3,-47264.7
"TTL_25",1659.5,89.2,21.1,355.7,1455.9,370.9,117.5,954,13220.9,726.5,2072.3,4893.6,416.7,6702.8,335.6,5038.5,2077.4,4672,4588.5,30145.2,5315,6800.8,21400.6,59219.6,959.2,7603,6995.5,181.9,1633.2,51941.6,4861.4,1223.8,801.5,144.1,752.1,878.3,2455.8,1136.4,2809.6,1761.3,296.2,1578.8,3384.7,2605,9414,652.5,1894.3,598.9,1347.8,0,35187.3,4.8,6.2,50546.6,3880.7,59.5,12.6,28297.9,-37226.1
"TTL_26",447.4,7.7,1.4,30.7,142.4,20,15.5,157.9,2027.4,371.3,400.8,1104.8,257.4,2842.8,198.7,1209.5,488,690.1,822.6,2155.6,15824.3,2345.9,4621.8,8778.3,819.4,5872.5,2204.9,205.9,352.3,3561.6,6411.9,261.2,24.9,94.9,196.9,57.2,389.8,1417.1,5429.8,3564.1,992.4,301.2,6693.3,1666,8461.9,741.7,3056.5,94.8,1666.1,0,89562.9,149.4,21.6,257731.5,19808.1,323.7,527.9,107025.4,-217921.4
