"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_35",0.0217,0.0099,0.0057,0.0222,0.0177,0.0575,0.0351,0.0078,0.027,0.0367,0.0305,0.0397,0.0213,0.0382,0.0108,0.0364,0.0371,0.0564,0.049,0.0296,0.0077,0.0192,0.0202,0.0242,0.0119,0.0127,0.0159,1.0484,0.0126,0.0141,0.0225,0.0119,0.0128,0.0115,0.052,0.0118,0.035,0.0057,0.0098,0.0061,0.006,0.0303,0.01,0.0082,0.0088,0.0121,0.0106,0.0149,0.0122,0
"TTL_36T39",0.0024,0.0012,7e-04,0.0021,0.0038,0.0026,0.0032,0.0027,0.0035,0.0038,0.0028,0.0033,0.0033,0.0052,0.0015,0.0035,0.0032,0.0043,0.0031,0.0027,9e-04,0.0019,0.0022,0.0024,0.0013,0.0014,0.002,0.007,1.047,0.0023,0.0027,0.0025,0.0024,0.0016,0.0047,0.0026,0.0047,9e-04,0.0012,9e-04,0.0018,0.0027,0.0017,0.0024,0.0051,0.0022,0.0029,0.003,0.0032,0
"TTL_41T43",0.0142,0.0059,0.0036,0.0174,0.0095,0.0257,0.0372,0.0215,0.0108,0.0099,0.0102,0.0118,0.0228,0.0103,0.0047,0.0102,0.0125,0.0148,0.011,0.0094,0.0034,0.0066,0.0076,0.0088,0.0053,0.0053,0.0064,0.0299,0.0081,1.0062,0.0104,0.0142,0.0102,0.0091,0.0206,0.0111,0.0122,0.0031,0.0089,0.0035,0.0096,0.0518,0.0057,0.0056,0.0404,0.0117,0.0065,0.0096,0.0169,0
"TTL_45T47",0.2485,0.1459,0.0483,0.0831,0.0693,0.1351,0.0874,0.076,0.302,0.188,0.2146,0.204,0.079,0.2183,0.1458,0.2373,0.1588,0.2085,0.1673,0.1775,0.0483,0.1589,0.1824,0.2822,0.1184,0.1511,0.1443,0.0636,0.084,0.145,1.0699,0.1013,0.0954,0.0917,0.0743,0.0808,0.0749,0.0554,0.0563,0.0323,0.0242,0.0257,0.0362,0.0501,0.0629,0.0456,0.0498,0.0401,0.0464,0
"TTL_49",0.0313,0.0246,0.0082,0.0167,0.0184,0.0278,0.0192,0.0205,0.0402,0.0272,0.0592,0.0366,0.0276,0.0275,0.0112,0.0344,0.0403,0.0538,0.0368,0.0426,0.0095,0.0286,0.0343,0.0441,0.0196,0.0293,0.029,0.0195,0.0202,0.0314,0.0189,1.0494,0.0316,0.0316,0.0418,0.0267,0.0148,0.0149,0.0187,0.0149,0.0102,0.0091,0.0144,0.0185,0.0151,0.0292,0.0134,0.0243,0.0126,0
"TTL_50",0.0022,0.0015,9e-04,0.0012,0.003,0.002,0.0039,0.0025,0.0028,0.0023,0.0035,0.0025,0.0054,0.0023,0.0013,0.0026,0.0027,0.0029,0.0024,0.0024,8e-04,0.002,0.0022,0.0031,0.0014,0.0019,0.0018,0.0015,0.0012,0.002,0.0031,0.0019,1.0843,0.0026,0.0092,0.0079,9e-04,7e-04,9e-04,5e-04,5e-04,4e-04,0.0014,9e-04,0.0019,9e-04,7e-04,6e-04,7e-04,0
"TTL_51",0.0042,0.0129,0.0015,0.0022,0.0029,0.0037,0.003,0.0052,0.006,0.0049,0.0104,0.0064,0.0051,0.0047,0.0027,0.0062,0.0053,0.0062,0.0058,0.0056,0.0018,0.0043,0.0053,0.007,0.0031,0.0036,0.005,0.0038,0.0063,0.0042,0.0036,0.004,0.0072,1.004,0.0052,0.0033,0.0036,0.0029,0.0041,0.0056,0.0034,0.003,0.0038,0.0067,0.0039,0.002,0.0031,0.0027,0.0033,0
"TTL_52",0.0161,0.0108,0.0169,0.0082,0.0069,0.0135,0.0366,0.0072,0.0252,0.0419,0.0619,0.0382,0.0151,0.0202,0.0085,0.0372,0.034,0.0209,0.0171,0.0191,0.008,0.0133,0.0159,0.0212,0.0091,0.0121,0.0164,0.0208,0.0182,0.0146,0.0308,0.0435,0.0751,0.0929,1.0969,0.0649,0.009,0.0078,0.0073,0.007,0.0033,0.0033,0.0072,0.0081,0.0078,0.0055,0.0059,0.008,0.0068,0
"TTL_53",0.0062,0.0039,0.0017,0.0028,0.0031,0.0046,0.0037,0.0034,0.0077,0.0055,0.0075,0.0064,0.0038,0.0058,0.0035,0.0065,0.0055,0.0071,0.0056,0.006,0.0018,0.0059,0.0065,0.0077,0.0035,0.0046,0.005,0.0033,0.0063,0.0046,0.0187,0.0498,0.0734,0.0046,0.0116,1.0158,0.0075,0.0057,0.0037,0.0067,0.0037,0.0016,0.0047,0.0061,0.0034,0.0032,0.0047,0.0041,0.0067,0
"TTL_55T56",0.0039,0.0036,0.0016,0.0022,0.0032,0.0036,0.0036,0.0067,0.0051,0.0045,0.0054,0.0051,0.003,0.0037,0.0025,0.0052,0.0048,0.0061,0.0046,0.0052,0.002,0.0032,0.0046,0.0047,0.0027,0.0032,0.0048,0.0054,0.0082,0.0033,0.0058,0.0046,0.0057,0.0301,0.0059,0.0073,1.0107,0.007,0.0091,0.0086,0.0072,0.0069,0.0091,0.0123,0.0049,0.0038,0.0107,0.011,0.0074,0
