"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_31T33",348.7,23.4,27.6,13.7,58.8,17.1,29.1,122.4,1188,134.1,589.8,548.3,178,854,154,484.3,326.8,322.4,171.1,616.5,302.7,267.7,1194.1,1581.7,155.5,304.2,3439,267.3,756.6,9356.9,7330.7,462.2,32.7,167.9,503.8,58.8,2781.4,476.7,884,902.5,1836.7,2089.7,3012.7,3732.9,7835.7,2133.5,14872.9,721.9,1113.3,0,99256.7,180.3,723.5,40090.7,1211.8,0,669.9,46868.3,0,263784.7
"DOM_35",5420.6,26.3,10.8,553.3,3122.2,1394.1,1352.5,522.4,10826.4,952.2,1994.7,7510.9,3392.9,10689.5,1114.1,4271.8,3716.1,4810.2,2915.8,4917.5,2220,756.6,2726.6,4085.4,282.8,1859.7,1596.9,9753.1,930.9,8706.8,49308,3717.1,211.3,228.1,3803.1,668.9,25236.8,1268.4,3380.1,1954.9,4815,36610,9487,3408.6,6454.2,8643.9,14006.4,3186.2,3317.9,0,185621,35.8,0.6,196.7,10.2,0,20.8,3158.5,0,471182.7
"DOM_36T39",586.4,0.8,1.5,19.8,291.1,18.8,39.5,65.2,1322.2,72.5,113.1,369.1,327.9,1200.2,124.1,254.9,225.3,221.9,116,323.7,149.3,51,212.2,354.6,30.7,165.3,182.6,1067.7,4124.4,1266.5,4806.4,644.4,38,188.9,497.8,269.2,2519.4,99.2,87.4,250.1,2259.5,14349,1634.3,1319.4,11120.4,2014.7,2899.8,319.5,748,0,43356.4,188.9,11332,487.6,0,0,2.2,138.5,0,114869.2
"DOM_41T43",3452.8,0,22.1,1053.8,348.9,1047.9,2009.2,2770.7,3910.6,179.6,595.1,2118,10443.1,2611.5,488.5,1074.1,1401.5,1535.1,840,2314.5,1096.6,256.2,1591.5,1821.9,181.2,666.6,805.7,11243.7,196.6,451.5,17826,4449.7,93.5,317.6,2976.2,599.6,8025.1,529.7,3557.9,434.4,8284.9,157097,3570.4,1950.1,45369.4,17241.9,9117,889.1,4721.2,0,2.6,177,0.1,1233052.8,0,0,0,9,0,1576820.9
"DOM_45T47",61132.1,2308.6,278.3,1239,6861.1,1362.1,1880.7,3484.5,155503.6,7417.7,13444.6,29934.8,14321.4,67307.6,22863.3,35840.4,13624.1,12445.5,6117.2,29079.4,13432.9,10121.3,32208.5,103456.4,2655.5,24078.8,20366.1,9643.2,5227.8,133355,110395.5,32224,3255.4,9782,9898.5,5710.8,39440.8,22629.1,14938.7,10958.6,14785,21452.5,32825.7,37284.8,60603.5,30369.3,65129.5,4141.1,9283.1,0,1294719.1,1232.5,1169.8,469887.2,11.1,0,8470.7,315827,0,3467416.9
"DOM_49",5517.9,310.3,34.4,233.1,1637.9,344.3,292.3,680.2,15210.8,635,3046.5,4362.6,4031.7,5670,889.8,3308.1,3286.9,2814.9,1171.1,5580.8,1591.4,1336.3,4575.9,7818.1,345.4,3808.8,3316,3331.7,733.7,23666.8,40481.4,28740.9,698.5,2743.3,11952.3,5133.5,6348.7,4249.7,4323,7792.4,9470.6,11952.9,13518,8437.9,19460.2,27821.9,13633.1,3478.3,1849.2,0,144093.3,180.8,413.8,38306.9,12.2,0,12950.7,35542.6,0,563169.1
"DOM_50",226.2,12.3,2,9.2,582.2,13.6,117.7,164.9,629,35.6,123.1,176.9,1497.9,276.3,77.3,146.1,124,109.5,77.9,220.1,91.3,64.7,208.1,482,16.9,163.8,125.7,161.5,31.6,987.8,746.9,231.3,5146,146.5,2375.4,2039.9,151.8,132.8,107.4,62.1,23.4,67.2,2171.7,465.5,3301.8,556.5,391,23.6,53.7,0,18992.7,8,13.5,2621.6,0,0,2557.9,6508.3,0,55851.5
"DOM_51",619.6,33.3,5.5,15.6,221.1,18.9,28,179.3,2065.7,111.4,370.5,622.3,1373.7,835.8,258.1,578.1,325.2,262.6,239.4,712.2,316.1,186.5,679.3,1550.7,65,313.6,506.2,811.8,273.8,2657.5,5937.4,1648.8,141.2,333.8,1274.6,303.4,1631.5,605.9,669.7,3581.7,3539,7143.9,3797.1,3437,6593.6,1147.3,2885.7,189.7,537.3,0,77615.5,12.7,25.8,8954.5,0.2,0,6378.1,48224,0,202846.1
"DOM_52",1798.8,54.4,36.8,68.4,186.7,64,530.1,64.6,6767.7,944.8,1993.7,4300.5,1413.4,2800.9,475.9,3114.2,2571.5,526,311.2,1397.8,821.2,280.2,1153,1389.3,69.4,688.4,1303.6,7428.3,1111.8,3954.5,73540.1,23314.7,3264.7,17355.1,23869.4,9646,2302.3,1440.1,737,1920,199.3,414.5,4979,10478.4,5108.5,1662.8,4555.3,689.1,731.1,0,29114.3,158.2,47.4,6666,0,0,158.8,6308.5,0,276281.4
"DOM_53",19.3,0,0,0.6,0.2,1.8,0,0.1,1.2,1.2,0.2,76.4,27.2,53,0.4,1.3,0.2,12.1,36.9,124.1,97.3,148.9,276.9,0.6,0,0.4,93.7,278.9,260.4,11.6,62688.1,12462.9,2318.3,3.2,2351.3,1734.6,6788,1466.8,204.8,3272,5127.8,547,5958.7,4827.6,1643.2,1041.7,6186.2,376.5,1326.6,0,17838.8,0.6,0,29.5,116.6,0,206.8,10022.7,0,150065
