period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
6.030000000000000000e+02,2.620414805015839309e-03,5.741102736322684780e-03,3.469710703652405422e-03,1.829528154657495548e-03,1.640182548994909874e-03,3.469219147226258043e-03,4.915564261473784335e-07,-7.063601269018282558e+00,-3.447902712706074624e+00
6.040000000000000000e+02,2.620430866788069687e-03,5.741101040212514064e-03,3.469720749879676071e-03,1.829527707454575020e-03,1.640193042425101052e-03,3.469229155303862541e-03,4.915945758135302490e-07,-7.063031617501469128e+00,-3.447931237364443291e+00
6.050000000000000000e+02,2.620446928189417921e-03,5.741099343787978496e-03,3.469730796152666660e-03,1.829527260233766673e-03,1.640203535918899986e-03,3.469239163427853545e-03,4.916327248131145689e-07,-7.062461979138490165e+00,-3.447959767309705104e+00
6.060000000000000000e+02,2.620462989219913934e-03,5.741097647049118839e-03,3.469740842471389329e-03,1.829526812995076798e-03,1.640214029476312532e-03,3.469249171598244499e-03,4.916708731448303504e-07,-7.061892353928255872e+00,-3.447988302541171723e+00
6.070000000000000000e+02,2.620479049879589385e-03,5.741095949995979331e-03,3.469750888835857958e-03,1.829526365738513415e-03,1.640224523097344542e-03,3.469259179815051448e-03,4.917090208065091894e-07,-7.061322741869647146e+00,-3.448016843058099301e+00
6.080000000000000000e+02,2.620495110168475500e-03,5.741094252628605073e-03,3.469760935246086423e-03,1.829525918464082815e-03,1.640235016782003608e-03,3.469269188078286104e-03,4.917471678003194901e-07,-7.060753142961573303e+00,-3.448045388859721783e+00
6.090000000000000000e+02,2.620511170086600901e-03,5.741092554947035097e-03,3.469770981702085567e-03,1.829525471171789984e-03,1.640245510530295584e-03,3.469279196387961041e-03,4.917853141245265292e-07,-7.060183557202992510e+00,-3.448073939945406341e+00
6.100000000000000000e+02,2.620527229634000716e-03,5.741090856951320577e-03,3.469781028203873172e-03,1.829525023861644463e-03,1.640256004342228709e-03,3.469289204744092740e-03,4.918234597804313490e-07,-7.059613984592683522e+00,-3.448102496314264798e+00
6.110000000000000000e+02,2.620543288810702701e-03,5.741089158641498810e-03,3.469791074751459210e-03,1.829524576533649504e-03,1.640266498217809706e-03,3.469299213146689875e-03,4.918616047693349924e-07,-7.059044425129656908e+00,-3.448131057965686530e+00
6.120000000000000000e+02,2.620559347616740250e-03,5.741087460017617501e-03,3.469801121344858429e-03,1.829524129187815084e-03,1.640276992157043345e-03,3.469309221595771528e-03,4.918997490869006506e-07,-7.058474878812715403e+00,-3.448159624898872178e+00
6.130000000000000000e+02,2.620575406052142418e-03,5.741085761079718283e-03,3.469811167984087740e-03,1.829523681824147272e-03,1.640287486159940468e-03,3.469319230091350275e-03,4.919378927374651322e-07,-7.057905345640835826e+00,-3.448188197113100095e+00
