period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
3.000000000000000000e+02,2.615714689157350430e-03,5.742019753664178924e-03,3.466198766309508232e-03,1.829583207666790525e-03,1.636615558642717707e-03,3.466047931179261181e-03,1.508351302470511968e-07,-7.230297511087869111e+00,-3.432461056253499621e+00
3.010000000000000000e+02,2.615730855014014155e-03,5.742018158692344630e-03,3.466208761011399866e-03,1.829582756262638187e-03,1.636626004748761680e-03,3.466057931596917916e-03,1.508294144819503912e-07,-7.229724168085516212e+00,-3.432487880003909364e+00
3.020000000000000000e+02,2.615747020490279476e-03,5.742016563392399534e-03,3.466218755755439643e-03,1.829582304838728865e-03,1.636636450916710778e-03,3.466067932056566235e-03,1.508236988734083794e-07,-7.229150838574483373e+00,-3.432514709272382891e+00
3.030000000000000000e+02,2.615763185586181087e-03,5.742014967764398278e-03,3.466228750541644477e-03,1.829581853395074054e-03,1.636646897146570422e-03,3.466077932558226521e-03,1.508179834179557144e-07,-7.228577522553547574e+00,-3.432541544058009819e+00
3.040000000000000000e+02,2.615779350301752383e-03,5.742013371808387702e-03,3.466238745370029545e-03,1.829581401931678957e-03,1.636657343438350587e-03,3.466087933101913085e-03,1.508122681164597578e-07,-7.228004220021522208e+00,-3.432568384359990787e+00
3.050000000000000000e+02,2.615795514637028491e-03,5.742011775524422448e-03,3.466248740240606991e-03,1.829580950448555284e-03,1.636667789792051707e-03,3.466097933687645877e-03,1.508065529611142541e-07,-7.227430930977140733e+00,-3.432595230177426515e+00
3.060000000000000000e+02,2.615811678592043672e-03,5.742010178912549355e-03,3.466258735153397198e-03,1.829580498945709973e-03,1.636678236207687225e-03,3.466107934315439641e-03,1.508008379575570546e-07,-7.226857655419216542e+00,-3.432622081509506540e+00
3.070000000000000000e+02,2.615827842166832187e-03,5.742008581972819596e-03,3.466268730108412743e-03,1.829580047423153650e-03,1.636688682685259093e-03,3.466117934985317797e-03,1.507951230949461374e-07,-7.226284393346526613e+00,-3.432648938355387092e+00
3.080000000000000000e+02,2.615844005361425695e-03,5.742006984705280877e-03,3.466278725105670973e-03,1.829579595880893037e-03,1.636699129224777937e-03,3.466127935697290753e-03,1.507894083802203966e-07,-7.225711144757940296e+00,-3.432675800714246606e+00
3.090000000000000000e+02,2.615860168175859323e-03,5.742005387109983504e-03,3.466288720145185333e-03,1.829579144318938108e-03,1.636709575826247225e-03,3.466137936451380193e-03,1.507836938051398956e-07,-7.225137909652213253e+00,-3.432702668585263517e+00
3.100000000000000000e+02,2.615876330610167333e-03,5.742003789186975182e-03,3.466298715226969699e-03,1.829578692737297320e-03,1.636720022489672379e-03,3.466147937247603464e-03,1.507779793662351875e-07,-7.224564688028123349e+00,-3.432729541967616260e+00
3.110000000000000000e+02,2.615892492664380082e-03,5.742002190936301882e-03,3.466308710351042287e-03,1.829578241135977829e-03,1.636730469215064458e-03,3.466157938085974010e-03,1.507722650682767618e-07,-7.223991479884617206e+00,-3.432756420860549884e+00
3.120000000000000000e+02,2.615908654338535300e-03,5.742000592358018247e-03,3.466318705517415673e-03,1.829577789514987875e-03,1.636740916002427798e-03,3.466167938966509612e-03,1.507665509060604481e-07,-7.223418285220340351e+00,-3.432783305263120699e+00
3.130000000000000000e+02,2.615924815632663346e-03,5.741998993452169381e-03,3.466328700726107638e-03,1.829577337874335697e-03,1.636751362851771941e-03,3.466177939889226317e-03,1.507608368813209698e-07,-7.222845104034214536e+00,-3.432810195174595957e+00
3.140000000000000000e+02,2.615940976546798045e-03,5.741997394218801253e-03,3.466338695977130326e-03,1.829576886214029970e-03,1.636761809763100355e-03,3.466187940854140604e-03,1.507551229897215184e-07,-7.222271936325041608e+00,-3.432837090594176299e+00
3.150000000000000000e+02,2.615957137080972793e-03,5.741995794657966772e-03,3.466348691270501083e-03,1.829576434534080018e-03,1.636772256736421065e-03,3.466197941861272423e-03,1.507494092286600085e-07,-7.221698782091645619e+00,-3.432863991520995750e+00
3.160000000000000000e+02,2.615973297235221415e-03,5.741994194769709306e-03,3.466358686606233787e-03,1.829575982834491261e-03,1.636782703771742526e-03,3.466207942910632181e-03,1.507436956016058871e-07,-7.221125641332815093e+00,-3.432890897954310461e+00
3.170000000000000000e+02,2.615989457009576004e-03,5.741992594554078295e-03,3.466368681984343617e-03,1.829575531115272807e-03,1.636793150869070811e-03,3.466217944002239829e-03,1.507379821037886647e-07,-7.220552514047417603e+00,-3.432917809893298866e+00
3.180000000000000000e+02,2.616005616404068652e-03,5.741990994011118843e-03,3.466378677404844018e-03,1.829575079376431594e-03,1.636803598028412424e-03,3.466227945136107075e-03,1.507322687369430647e-07,-7.219979400234322497e+00,-3.432944727337194912e+00
3.190000000000000000e+02,2.616021775418734922e-03,5.741989393140882990e-03,3.466388672867751469e-03,1.829574627617978032e-03,1.636814045249773437e-03,3.466237946312255170e-03,1.507265554962985976e-07,-7.219406299892261458e+00,-3.432971650285121523e+00
