"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_53",730.3,140.5,121.7,402.8,36.5,127.3,67.8,5.6,858.3,307.2,110.3,277.9,73,831.3,425.9,247.1,688.3,300.5,464.1,531.9,639.2,883.5,1216.9,600.8,13,39.3,243.2,60.2,240.4,1564.6,4624.8,476.3,23.7,61.6,257.2,3671,421.4,226,543.1,624.5,9891.5,495.8,1796.3,490,7186.8,1012.3,236.3,111.3,552,0,4767.7,0,16.1,245.9,0.4,122.5,58.5,5.8,-274.7
"TTL_55T56",838.4,191.6,75,1044.1,174.8,1098.9,521.9,74.9,3597.3,1743.1,482.8,1236.5,230.1,3587.1,2540.7,1262.1,4025.3,1396.5,955.9,2860.9,3640,3618.5,7025.4,2077.4,133.8,367.8,902.2,1253.8,1465.6,11333.5,6643.5,9057.1,175.8,1154.9,1170.6,588.9,464.2,2289.8,1043.8,1466.1,30000.5,3171.1,19843.6,9836.4,15205.2,4707.7,1509.2,543.5,1984.9,0,199086,656.1,35.4,19.2,1.6,29255.3,8907.9,0.1,-29547
"TTL_58T60",28.1,2.9,1.4,187.2,39.4,242.9,60.1,8.5,432.1,410.3,91.5,202.1,39.3,449.5,295.4,311.8,682.8,330.1,220.6,402.6,615.5,555.8,1040,210,9.3,45.5,145.5,743,246.6,1589.7,574.9,743.6,42.6,157.8,135.9,141.5,284.2,1243.8,860,107.3,1754.7,729.2,1113.6,142.8,3577.5,1091.3,428.2,186.5,323.1,0,14274.4,97.8,28230.2,3657.7,8.9,498,221.7,4646.8,-11501.1
"TTL_61",1031.2,82.5,114.4,189.1,109,437.4,126.1,16.2,808.3,705.1,172,388.4,52.1,954,442,328.5,1149.3,335.2,306.3,898.7,1676.5,1000.3,2164.5,516.6,22.2,79.7,298,1356,630.8,27252.8,2983.9,2721.2,2935,416.5,811.4,1139.1,1118.4,694,23381.8,17891.9,16962.5,2698,3051.1,669,11251.6,3701.7,3854.3,246.6,624.9,0,73423.7,5.6,14.6,101.5,81.1,1751.8,988,13393.2,-9412.5
"TTL_62T63",199.5,45.8,1.2,368.4,38.1,440.8,356.6,90.5,643.2,1329.1,226.1,428.5,113.1,699.3,154.6,477.9,1597.4,960.4,249,1063.1,10007.6,895.5,2603.5,339,28.7,66.1,445.8,2147.2,641.6,7106.4,3207.1,963.2,562.5,1040.2,618,748.3,278.9,769.6,4134.3,27612.1,16827.6,1141.7,2340.5,888.1,2776.8,859.1,744.8,529.6,417.5,0,4281.8,14.7,83.8,133709.8,10.7,131.9,12.5,8610.2,-15348.7
"TTL_64T66",11011.6,1594.7,2314.7,12774.5,1942.2,5206.7,3195,424.6,10991.9,8124.7,2485.3,6733.1,4217,20439.7,4164.1,5479.3,17546.2,25908.5,17291.3,10674.8,25503.2,12881.9,21433.5,9060.5,1950.6,1251,3246.3,30946.4,5969.8,65291.3,49125,56791.4,7906.7,3585.4,8635.6,454.5,3549.8,929.2,6123.9,9470.4,66760.4,70371.4,38920.8,13594.7,10901.3,8755.9,3893.1,2544.8,2459.9,0,151232.9,202.2,66926.7,1280.7,62.9,1560.7,889.4,11614.5,-39589.1
"TTL_68",14.5,0.3,0.2,65.2,20.8,14,28.3,8.5,201.4,311.5,57.4,174.2,208.9,185.7,32.5,284.9,398.1,101,143.2,345.7,704.2,395.1,669.2,156.9,9,46.6,279.5,162.5,330.5,170.8,56776.6,679.9,20.1,308.6,1017.6,446.1,2161,333.5,2338.2,4519,39339.7,17828.7,4558.1,1648.9,3294.7,1886.7,1421.2,446.5,8771.7,0,472570,503.3,9545,59724,0.4,3361.6,3087,2273.1,-4909.2
"TTL_69T75",8185.5,1203.3,413.8,5780.8,1518.7,4945.9,3107.5,538.7,13637.3,5465.7,1491.1,4079.9,1183.5,18708,9938.2,5463.3,9666,8006.8,3767,7501.4,20878.7,13015.5,24713.2,19598.6,559.3,1967.1,3737.2,4687.2,1313.9,118523.5,80576.1,2684.2,1384.5,528.6,1734,1008,1643.2,894,5661.5,7155,49400.8,18573.2,81580.4,3511.9,1310.4,1675.6,400,553.2,1673.2,0,10637,325.7,53459.2,95707.9,68.9,724.5,437.6,46994.7,-36236.1
"TTL_77T82",209.8,30.7,28.7,3295.7,463.3,1606.9,1167.3,104.8,4826.3,2711.4,599.4,1719.3,716.3,4355.9,3737.6,1930.5,4689.7,2507.3,1318,3455.6,6578.1,5490.4,8401.7,5025.9,183,503.5,2071.9,1595.4,1239,13574.9,57424.4,4195.1,1488.6,1352,2441.2,710.7,1938.7,956.3,4078.9,7596.7,37173.9,14300.5,10485.8,15975.1,10044.7,1606.1,288.1,901.6,1781.8,0,38297,71.1,14452.7,2458.1,5.9,1071.4,738.7,26615,-31491.2
"TTL_84",193.5,25.1,14.8,26.7,15.7,41.2,13.5,2.2,283,98.7,67.8,50.5,10.9,120.9,67.3,73.3,100.2,138.1,64.2,78.8,285.7,114.4,178.3,386,18.9,24.6,53.3,46.9,31.8,299.5,183.8,80.6,31.8,15,36.9,14.2,32.9,18.4,103.8,113.6,253.2,274.2,935.3,357.3,612,96.6,56.9,17,68.9,0,1130.2,50,503350.1,113.5,3.9,276.7,0,0.1,-1699.5
